generation,key,affinity
0,0,51
0,1,48
0,2,52
0,3,50
0,4,46
0,6,52
0,period,52
0,9,50
1,0,50
1,1,46
1,2,51
1,3,49
1,4,45
1,6,49
1,period,50
1,9,49
2,0,49
2,1,45
2,2,50
2,3,48
2,4,44
2,6,48
2,period,49
2,9,48
3,0,48
3,1,43
3,2,49
3,3,47
3,4,43
3,6,47
3,period,47
3,9,47
4,0,47
4,1,41
4,2,48
4,3,46
4,4,42
4,6,46
4,period,46
4,9,46
5,0,46
5,1,40
5,2,47
5,3,45
5,4,41
5,6,45
5,period,45
5,9,45
6,0,45
6,1,39
6,2,46
6,3,44
6,4,40
6,6,44
6,period,44
6,9,44
7,0,44
7,1,38
7,2,45
7,3,43
7,4,39
7,6,43
7,period,43
7,9,43
8,0,43
8,1,37
8,2,44
8,3,42
8,4,38
8,6,42
8,period,42
8,9,42
9,0,42
9,1,36
9,2,43
9,3,41
9,4,37
9,6,41
9,period,41
9,9,41
10,0,41
10,1,35
10,2,42
10,3,40
10,4,36
10,6,40
10,period,40
10,9,40
11,0,40
11,1,34
11,2,41
11,3,39
11,4,35
11,6,39
11,period,39
11,9,39
12,0,39
12,1,33
12,2,40
12,3,38
12,4,34
12,6,38
12,period,38
12,9,38
13,0,38
13,1,32
13,2,39
13,3,37
13,4,33
13,6,37
13,period,37
13,9,37
14,0,37
14,1,31
14,2,38
14,3,36
14,4,32
14,6,36
14,period,36
14,9,36
15,0,36
15,1,30
15,2,37
15,3,35
15,4,31
15,6,35
15,period,35
15,9,35
16,0,35
16,1,29
16,2,36
16,3,34
16,4,30
16,6,34
16,period,34
16,9,34
17,0,34
17,1,28
17,2,35
17,3,33
17,4,29
17,6,33
17,period,33
17,9,33
18,0,33
18,1,27
18,2,34
18,3,32
18,4,28
18,6,32
18,period,32
18,9,32
19,0,32
19,1,26
19,2,33
19,3,31
19,4,27
19,6,31
19,period,31
19,9,31
20,0,31
20,1,25
20,2,32
20,3,30
20,4,26
20,6,30
20,period,30
20,9,30
21,0,30
21,1,24
21,2,31
21,3,29
21,4,25
21,6,29
21,period,29
21,9,29
22,0,29
22,1,23
22,2,30
22,3,28
22,4,24
22,6,28
22,period,28
22,9,28
23,0,28
23,1,22
23,2,29
23,3,27
23,4,23
23,6,27
